5.976713	6.789269	同行者
9.142214	9.897006	同行者
11.591435	12.369331	同行者
14.044506	14.664513	同行者
16.447514	17.256219	同行者
19.539847	20.256128	同行者
22.031428	22.740007	同行者
24.896553	25.851595	同行者
27.488259	28.273858	同行者
31.346936	32.167194	同行者
34.181253	34.882131	同行者
36.953955	37.731852	同行者
40.700954	41.528914	同行者
43.781734	44.671309	同行者
47.374694	48.271971	同行者
51.237221	52.157604	同行者
53.871288	54.703099	同行者
56.832688	57.660648	同行者
59.755578	60.571985	同行者
62.458962	63.244561	同行者
64.912033	65.651421	同行者
67.665481	68.481887	同行者
70.257187	71.100550	同行者
75.009290	75.825696	同行者
5.688442	9.027310	你好小T
16.864375	19.539847	你好小T
21.656268	22.475528	取消
27.421999	29.045059	你好小T
30.714493	31.982027	你好小T
33.806038	35.228148	你好小T
36.953955	38.288777	你好小T
39.679972	40.483774	取消
48.073515	49.402879	你好小T
51.845199	52.695374	取消
56.003326	57.920084	你好小T
59.002124	60.130538	你好小T
63.175709	64.551447	你好小T
67.735737	69.250594	你好小T
70.842739	72.125730	你好小T
75.510971	77.319525	你好小T
78.772551	80.179203	你好小T
82.745185	84.074549	你好小T
7.996964	9.248189	同行者
10.408747	11.043426	取消
14.470696	15.794457	同行者
16.991281	18.151838	同行者
19.783872	20.763092	同行者
22.884735	24.063426	同行者
28.197911	29.394735	同行者
32.423064	33.806038	同行者
38.787994	40.184290	同行者
44.101170	45.497465	同行者
46.730557	48.489526	同行者
51.735460	53.548830	同行者
54.219777	55.616072	同行者
59.242813	60.457772	同行者
62.107939	63.812507	同行者
65.045599	66.441894	同行者
67.928858	68.998747	同行者
70.358774	71.773203	嗨同行者
76.270362	77.521588	同行者
82.091281	83.342507	同行者
87.476992	88.274875	同行者
